,beat,beat_num,district,sector,count_l_stops,count_bus_stops,count_metra_stops,count_restaurants,count_bars,count_daycares,count_entertainment,count_businesses,road_distance_ft,TOTAL POPULATION,dist_to_police,dist_to_hospital
80,3,1532,15,3,1.0,11.0,0.0,14.0,2.0,1.0,0.0,24.0,162950.25939453434,6459.881637464723,5701.676947291788,6619.369442896175
81,2,1122,11,2,1.0,17.0,0.0,19.0,0.0,0.0,1.0,66.0,222978.46741473966,5159.40990767963,6066.015951655431,1903.3090521159597
82,1,1114,11,1,0.0,4.0,0.0,5.0,0.0,1.0,0.0,23.0,73305.32176171224,2377.587120715671,8037.493978183079,3524.642522574946
83,2,1523,15,2,0.0,11.0,0.0,11.0,0.0,0.0,0.0,18.0,121192.60252242268,6376.24651157337,3415.417301603691,5391.894864229838
84,1,1512,15,1,2.0,11.0,0.0,5.0,0.0,5.0,0.0,20.0,111372.54877611574,5694.26368901793,2468.6645658717234,5550.589692838048
85,2,1123,11,2,1.0,28.0,1.0,11.0,1.0,3.0,0.0,19.0,167671.94923549358,4891.26319657312,4394.18353838429,2409.596542962458
86,1,0114,01,1,0.0,40.0,3.0,116.0,47.0,3.0,7.0,368.0,346507.25393447495,9669.65207228688,7850.827327402901,5659.991025227319
87,1,0111,01,1,3.0,15.0,0.0,127.0,73.0,0.0,20.0,278.0,77083.24783780519,1830.5622334427355,7748.496367128913,3677.237065479132
88,3,0333,03,3,0.0,15.0,0.0,16.0,1.0,2.0,0.0,61.0,104517.90459311908,4638.389342150394,8943.25955544188,3528.035892211615
89,1,1113,11,1,1.0,19.0,0.0,12.0,1.0,2.0,1.0,44.0,144722.30753264192,4161.746216485056,7766.48522658614,6279.29937098495
90,2,0121,01,2,1.0,30.0,2.0,221.0,46.0,1.0,2.0,436.0,124920.80225772786,5915.764669887932,7675.07144327495,7491.038836524576
91,2,1224,12,2,2.0,29.0,0.0,113.0,74.0,8.0,18.0,244.0,238196.6317126545,6414.56237361241,7200.046404496901,4007.444655964079
92,1,0112,01,1,4.0,15.0,0.0,130.0,55.0,1.0,15.0,669.0,49239.46822634216,1195.4595415463166,8310.585438652388,5114.435752533639
93,3,0131,01,3,3.0,48.0,0.0,67.0,30.0,10.0,8.0,153.0,227393.60980090324,9953.361747821993,51.196800513423455,4665.636801179348
94,3,1232,12,3,1.0,63.0,1.0,94.0,38.0,10.0,8.0,219.0,263596.28393865883,13529.039286306326,3304.0616514331355,5440.116738029525
95,1,0911,09,1,0.0,65.0,0.0,30.0,4.0,0.0,1.0,85.0,295547.603958144,9822.809853385748,10677.034245927427,9781.01786212972
96,2,1522,15,2,0.0,45.0,0.0,33.0,1.0,1.0,1.0,77.0,162376.6647157613,8424.77022514038,3268.3922825631057,1255.7772082627273
97,1,0215,02,1,1.0,22.0,0.0,17.0,0.0,1.0,0.0,36.0,151499.84585117942,3117.752542781348,4613.1990091618645,4556.255530108082
98,1,1513,15,1,0.0,36.0,0.0,33.0,2.0,3.0,0.0,71.0,117240.89295832893,5003.712686468454,2221.205512528324,1725.0229334370702
99,1,1115,11,1,0.0,16.0,0.0,14.0,1.0,0.0,0.0,34.0,78606.92224775323,2877.2716281040225,7170.424585106649,4900.651489706334
100,1,0212,02,1,0.0,31.0,0.0,7.0,2.0,0.0,1.0,38.0,145700.29507656474,7426.577248254362,3338.428352121885,7446.514395597316
101,1,0213,02,1,1.0,45.0,0.0,7.0,4.0,2.0,2.0,31.0,210892.03194505948,4923.794674969535,2832.481304513877,7872.006709377866
102,2,0821,08,2,1.0,63.0,0.0,60.0,14.0,1.0,5.0,129.0,388813.0157928889,8190.479038495924,12395.006095156825,16045.622936235886
103,1,0214,02,1,0.0,30.0,0.0,11.0,2.0,2.0,2.0,48.0,179945.42688940204,6796.787189612497,6120.288930143616,6801.558783948754
104,1,0815,08,1,1.0,73.0,0.0,98.0,24.0,3.0,3.0,277.0,389251.10195088264,16492.89399458633,12378.213193053767,17923.01089185868
105,2,0925,09,2,1.0,59.0,0.0,23.0,2.0,1.0,0.0,93.0,343700.85152369936,6216.953468656624,6474.659894873429,9339.701810660716
106,2,0224,02,2,2.0,27.0,0.0,12.0,0.0,3.0,0.0,43.0,161263.60507231776,2775.176986934858,2340.2647244925656,2970.5587181937185
107,2,0924,09,2,0.0,30.0,0.0,62.0,9.0,1.0,2.0,729.0,351976.3958341049,8579.13244523704,9980.100365217206,16020.167083293522
